Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Time required to start a business (days),IC.REG.DURS,Afghanistan,AFG,7.5
Time required to start a business (days),IC.REG.DURS,Albania,ALB,5
Time required to start a business (days),IC.REG.DURS,Algeria,DZA,20
Time required to start a business (days),IC.REG.DURS,American Samoa,ASM,..
Time required to start a business (days),IC.REG.DURS,Andorra,AND,..
Time required to start a business (days),IC.REG.DURS,Angola,AGO,36
Time required to start a business (days),IC.REG.DURS,Antigua and Barbuda,ATG,22
Time required to start a business (days),IC.REG.DURS,Arab World,ARB,23.1681818181818
Time required to start a business (days),IC.REG.DURS,Argentina,ARG,24
Time required to start a business (days),IC.REG.DURS,Armenia,ARM,4.5
Time required to start a business (days),IC.REG.DURS,Aruba,ABW,..
Time required to start a business (days),IC.REG.DURS,Australia,AUS,2.5
Time required to start a business (days),IC.REG.DURS,Austria,AUT,21
Time required to start a business (days),IC.REG.DURS,Azerbaijan,AZE,4.5
Time required to start a business (days),IC.REG.DURS,"Bahamas, The",BHS,21.5
Time required to start a business (days),IC.REG.DURS,Bahrain,BHR,9.3
Time required to start a business (days),IC.REG.DURS,Bangladesh,BGD,19.5
Time required to start a business (days),IC.REG.DURS,Barbados,BRB,15
Time required to start a business (days),IC.REG.DURS,Belarus,BLR,5
Time required to start a business (days),IC.REG.DURS,Belgium,BEL,4
Time required to start a business (days),IC.REG.DURS,Belize,BLZ,43
Time required to start a business (days),IC.REG.DURS,Benin,BEN,8.5
Time required to start a business (days),IC.REG.DURS,Bermuda,BMU,..
Time required to start a business (days),IC.REG.DURS,Bhutan,BTN,15
Time required to start a business (days),IC.REG.DURS,Bolivia,BOL,45
Time required to start a business (days),IC.REG.DURS,Bosnia and Herzegovina,BIH,65
Time required to start a business (days),IC.REG.DURS,Botswana,BWA,48
Time required to start a business (days),IC.REG.DURS,Brazil,BRA,79.5
Time required to start a business (days),IC.REG.DURS,British Virgin Islands,VGB,..
Time required to start a business (days),IC.REG.DURS,Brunei Darussalam,BRN,14.5
Time required to start a business (days),IC.REG.DURS,Bulgaria,BGR,23
Time required to start a business (days),IC.REG.DURS,Burkina Faso,BFA,13
Time required to start a business (days),IC.REG.DURS,Burundi,BDI,4
Time required to start a business (days),IC.REG.DURS,Cabo Verde,CPV,11
Time required to start a business (days),IC.REG.DURS,Cambodia,KHM,99
Time required to start a business (days),IC.REG.DURS,Cameroon,CMR,16.5
Time required to start a business (days),IC.REG.DURS,Canada,CAN,1.5
Time required to start a business (days),IC.REG.DURS,Cayman Islands,CYM,..
Time required to start a business (days),IC.REG.DURS,Central African Republic,CAF,22
Time required to start a business (days),IC.REG.DURS,Chad,TCD,60
Time required to start a business (days),IC.REG.DURS,Channel Islands,CHI,..
Time required to start a business (days),IC.REG.DURS,Chile,CHL,5.5
Time required to start a business (days),IC.REG.DURS,China,CHN,26.9
Time required to start a business (days),IC.REG.DURS,Colombia,COL,11
Time required to start a business (days),IC.REG.DURS,Comoros,COM,16
Time required to start a business (days),IC.REG.DURS,"Congo, Dem. Rep.",COD,11.5
Time required to start a business (days),IC.REG.DURS,"Congo, Rep.",COG,50
Time required to start a business (days),IC.REG.DURS,Costa Rica,CRI,22.5
Time required to start a business (days),IC.REG.DURS,Cote d'Ivoire,CIV,7
Time required to start a business (days),IC.REG.DURS,Croatia,HRV,7
Time required to start a business (days),IC.REG.DURS,Cuba,CUB,..
Time required to start a business (days),IC.REG.DURS,Curacao,CUW,..
Time required to start a business (days),IC.REG.DURS,Cyprus,CYP,6
Time required to start a business (days),IC.REG.DURS,Czech Republic,CZE,9
Time required to start a business (days),IC.REG.DURS,Denmark,DNK,3.5
Time required to start a business (days),IC.REG.DURS,Djibouti,DJI,14
Time required to start a business (days),IC.REG.DURS,Dominica,DMA,12
Time required to start a business (days),IC.REG.DURS,Dominican Republic,DOM,18.5
Time required to start a business (days),IC.REG.DURS,East Asia & Pacific,EAS,21.4310344827586
Time required to start a business (days),IC.REG.DURS,East Asia & Pacific (excluding high income),EAP,27.29
Time required to start a business (days),IC.REG.DURS,Ecuador,ECU,48.5
Time required to start a business (days),IC.REG.DURS,"Egypt, Arab Rep.",EGY,14.5
Time required to start a business (days),IC.REG.DURS,El Salvador,SLV,16.5
Time required to start a business (days),IC.REG.DURS,Equatorial Guinea,GNQ,149
Time required to start a business (days),IC.REG.DURS,Eritrea,ERI,84
Time required to start a business (days),IC.REG.DURS,Estonia,EST,3.5
Time required to start a business (days),IC.REG.DURS,Eswatini,SWZ,30
Time required to start a business (days),IC.REG.DURS,Ethiopia,ETH,35
Time required to start a business (days),IC.REG.DURS,Euro area,EMU,9.55263157894737
Time required to start a business (days),IC.REG.DURS,Europe & Central Asia,ECS,10.0938775510204
Time required to start a business (days),IC.REG.DURS,Europe & Central Asia (excluding high income),ECA,11.305
Time required to start a business (days),IC.REG.DURS,European Union,EUU,10.4107142857143
Time required to start a business (days),IC.REG.DURS,Faroe Islands,FRO,..
Time required to start a business (days),IC.REG.DURS,Fiji,FJI,40
Time required to start a business (days),IC.REG.DURS,Finland,FIN,14
Time required to start a business (days),IC.REG.DURS,France,FRA,3.5
Time required to start a business (days),IC.REG.DURS,French Polynesia,PYF,..
Time required to start a business (days),IC.REG.DURS,Gabon,GAB,47
Time required to start a business (days),IC.REG.DURS,"Gambia, The",GMB,25
Time required to start a business (days),IC.REG.DURS,Georgia,GEO,2
Time required to start a business (days),IC.REG.DURS,Germany,DEU,10.5
Time required to start a business (days),IC.REG.DURS,Ghana,GHA,14
Time required to start a business (days),IC.REG.DURS,Gibraltar,GIB,..
Time required to start a business (days),IC.REG.DURS,Greece,GRC,13
Time required to start a business (days),IC.REG.DURS,Greenland,GRL,..
Time required to start a business (days),IC.REG.DURS,Grenada,GRD,15
Time required to start a business (days),IC.REG.DURS,Guam,GUM,..
Time required to start a business (days),IC.REG.DURS,Guatemala,GTM,26.5
Time required to start a business (days),IC.REG.DURS,Guinea,GIN,8
Time required to start a business (days),IC.REG.DURS,Guinea-Bissau,GNB,8.5
Time required to start a business (days),IC.REG.DURS,Guyana,GUY,18
Time required to start a business (days),IC.REG.DURS,Haiti,HTI,97
Time required to start a business (days),IC.REG.DURS,Heavily indebted poor countries (HIPC),HPC,22.5384615384615
Time required to start a business (days),IC.REG.DURS,High income,HIC,11.3474576271186
Time required to start a business (days),IC.REG.DURS,Honduras,HND,13
Time required to start a business (days),IC.REG.DURS,"Hong Kong SAR, China",HKG,1.5
Time required to start a business (days),IC.REG.DURS,Hungary,HUN,7
Time required to start a business (days),IC.REG.DURS,Iceland,ISL,11.5
Time required to start a business (days),IC.REG.DURS,India,IND,28.5
Time required to start a business (days),IC.REG.DURS,Indonesia,IDN,24.9
Time required to start a business (days),IC.REG.DURS,"Iran, Islamic Rep.",IRN,15.5
Time required to start a business (days),IC.REG.DURS,Iraq,IRQ,34.5
Time required to start a business (days),IC.REG.DURS,Ireland,IRL,5
Time required to start a business (days),IC.REG.DURS,Isle of Man,IMN,..
Time required to start a business (days),IC.REG.DURS,Israel,ISR,12
Time required to start a business (days),IC.REG.DURS,Italy,ITA,6.5
Time required to start a business (days),IC.REG.DURS,Jamaica,JAM,10
Time required to start a business (days),IC.REG.DURS,Japan,JPN,12.2
Time required to start a business (days),IC.REG.DURS,Jordan,JOR,12.5
Time required to start a business (days),IC.REG.DURS,Kazakhstan,KAZ,9
Time required to start a business (days),IC.REG.DURS,Kenya,KEN,23
Time required to start a business (days),IC.REG.DURS,Kiribati,KIR,31
Time required to start a business (days),IC.REG.DURS,"Korea, Dem. People’s Rep.",PRK,..
Time required to start a business (days),IC.REG.DURS,"Korea, Rep.",KOR,4
Time required to start a business (days),IC.REG.DURS,Kosovo,XKX,6
Time required to start a business (days),IC.REG.DURS,Kuwait,KWT,61.4
Time required to start a business (days),IC.REG.DURS,Kyrgyz Republic,KGZ,10
Time required to start a business (days),IC.REG.DURS,Lao PDR,LAO,67
Time required to start a business (days),IC.REG.DURS,Latin America & Caribbean,LCN,31.2242424242424
Time required to start a business (days),IC.REG.DURS,Latin America & Caribbean (excluding high income),LAC,38.9304347826087
Time required to start a business (days),IC.REG.DURS,Latvia,LVA,5.5
Time required to start a business (days),IC.REG.DURS,Least developed countries: UN classification,LDC,24.6413043478261
Time required to start a business (days),IC.REG.DURS,Lebanon,LBN,15
Time required to start a business (days),IC.REG.DURS,Lesotho,LSO,29
Time required to start a business (days),IC.REG.DURS,Liberia,LBR,6
Time required to start a business (days),IC.REG.DURS,Libya,LBY,35
Time required to start a business (days),IC.REG.DURS,Liechtenstein,LIE,..
Time required to start a business (days),IC.REG.DURS,Lithuania,LTU,5.5
Time required to start a business (days),IC.REG.DURS,Low & middle income,LMY,25.8030534351145
Time required to start a business (days),IC.REG.DURS,Low income,LIC,25.5
Time required to start a business (days),IC.REG.DURS,Lower middle income,LMC,21.2723404255319
Time required to start a business (days),IC.REG.DURS,Luxembourg,LUX,16.5
Time required to start a business (days),IC.REG.DURS,"Macao SAR, China",MAC,..
Time required to start a business (days),IC.REG.DURS,"Macedonia, FYR",MKD,7
Time required to start a business (days),IC.REG.DURS,Madagascar,MDG,11
Time required to start a business (days),IC.REG.DURS,Malawi,MWI,37
Time required to start a business (days),IC.REG.DURS,Malaysia,MYS,18.5
Time required to start a business (days),IC.REG.DURS,Maldives,MDV,12
Time required to start a business (days),IC.REG.DURS,Mali,MLI,8.5
Time required to start a business (days),IC.REG.DURS,Malta,MLT,26
Time required to start a business (days),IC.REG.DURS,Marshall Islands,MHL,17
Time required to start a business (days),IC.REG.DURS,Mauritania,MRT,8
Time required to start a business (days),IC.REG.DURS,Mauritius,MUS,6.5
Time required to start a business (days),IC.REG.DURS,Mexico,MEX,8.4
Time required to start a business (days),IC.REG.DURS,"Micronesia, Fed. Sts.",FSM,16
Time required to start a business (days),IC.REG.DURS,Middle East & North Africa,MEA,20.6047619047619
Time required to start a business (days),IC.REG.DURS,Middle East & North Africa (excluding high income),MNA,21.6538461538462
Time required to start a business (days),IC.REG.DURS,Middle income,MIC,25.9051020408163
Time required to start a business (days),IC.REG.DURS,Moldova,MDA,6
Time required to start a business (days),IC.REG.DURS,Monaco,MCO,..
Time required to start a business (days),IC.REG.DURS,Mongolia,MNG,10
Time required to start a business (days),IC.REG.DURS,Montenegro,MNE,10
Time required to start a business (days),IC.REG.DURS,Morocco,MAR,10
Time required to start a business (days),IC.REG.DURS,Mozambique,MOZ,19
Time required to start a business (days),IC.REG.DURS,Myanmar,MMR,14
Time required to start a business (days),IC.REG.DURS,Namibia,NAM,66
Time required to start a business (days),IC.REG.DURS,Nauru,NRU,..
Time required to start a business (days),IC.REG.DURS,Nepal,NPL,17
Time required to start a business (days),IC.REG.DURS,Netherlands,NLD,3.5
Time required to start a business (days),IC.REG.DURS,New Caledonia,NCL,..
Time required to start a business (days),IC.REG.DURS,New Zealand,NZL,0.5
Time required to start a business (days),IC.REG.DURS,Nicaragua,NIC,14
Time required to start a business (days),IC.REG.DURS,Niger,NER,10
Time required to start a business (days),IC.REG.DURS,Nigeria,NGA,24.9
Time required to start a business (days),IC.REG.DURS,North America,NAC,3.55
Time required to start a business (days),IC.REG.DURS,Northern Mariana Islands,MNP,..
Time required to start a business (days),IC.REG.DURS,Norway,NOR,4
Time required to start a business (days),IC.REG.DURS,OECD members,OED,8.16285714285714
Time required to start a business (days),IC.REG.DURS,Oman,OMN,6.3
Time required to start a business (days),IC.REG.DURS,Pakistan,PAK,18
Time required to start a business (days),IC.REG.DURS,Palau,PLW,28
Time required to start a business (days),IC.REG.DURS,Panama,PAN,6
Time required to start a business (days),IC.REG.DURS,Papua New Guinea,PNG,41
Time required to start a business (days),IC.REG.DURS,Paraguay,PRY,35
Time required to start a business (days),IC.REG.DURS,Peru,PER,26.5
Time required to start a business (days),IC.REG.DURS,Philippines,PHL,28
Time required to start a business (days),IC.REG.DURS,Poland,POL,37
Time required to start a business (days),IC.REG.DURS,Portugal,PRT,5
Time required to start a business (days),IC.REG.DURS,Puerto Rico,PRI,5.5
Time required to start a business (days),IC.REG.DURS,Qatar,QAT,8.7
Time required to start a business (days),IC.REG.DURS,Romania,ROU,12
Time required to start a business (days),IC.REG.DURS,Russian Federation,RUS,10.1
Time required to start a business (days),IC.REG.DURS,Rwanda,RWA,4
Time required to start a business (days),IC.REG.DURS,Samoa,WSM,9
Time required to start a business (days),IC.REG.DURS,San Marino,SMR,12.5
Time required to start a business (days),IC.REG.DURS,Sao Tome and Principe,STP,7
Time required to start a business (days),IC.REG.DURS,Saudi Arabia,SAU,19.3
Time required to start a business (days),IC.REG.DURS,Senegal,SEN,6
Time required to start a business (days),IC.REG.DURS,Serbia,SRB,6.5
Time required to start a business (days),IC.REG.DURS,Seychelles,SYC,32
Time required to start a business (days),IC.REG.DURS,Sierra Leone,SLE,10
Time required to start a business (days),IC.REG.DURS,Singapore,SGP,2.5
Time required to start a business (days),IC.REG.DURS,Sint Maarten (Dutch part),SXM,..
Time required to start a business (days),IC.REG.DURS,Slovak Republic,SVK,12.5
Time required to start a business (days),IC.REG.DURS,Slovenia,SVN,7
Time required to start a business (days),IC.REG.DURS,Solomon Islands,SLB,9
Time required to start a business (days),IC.REG.DURS,Somalia,SOM,70
Time required to start a business (days),IC.REG.DURS,South Africa,ZAF,45
Time required to start a business (days),IC.REG.DURS,South Asia,SAS,15.8125
Time required to start a business (days),IC.REG.DURS,South Sudan,SSD,14
Time required to start a business (days),IC.REG.DURS,Spain,ESP,13
Time required to start a business (days),IC.REG.DURS,Sri Lanka,LKA,9
Time required to start a business (days),IC.REG.DURS,St. Kitts and Nevis,KNA,18.5
Time required to start a business (days),IC.REG.DURS,St. Lucia,LCA,11
Time required to start a business (days),IC.REG.DURS,St. Martin (French part),MAF,..
Time required to start a business (days),IC.REG.DURS,St. Vincent and the Grenadines,VCT,10
Time required to start a business (days),IC.REG.DURS,Sub-Saharan Africa,SSF,27.8520833333333
Time required to start a business (days),IC.REG.DURS,Sub-Saharan Africa (excluding high income),SSA,27.763829787234
Time required to start a business (days),IC.REG.DURS,Sudan,SDN,36.5
Time required to start a business (days),IC.REG.DURS,Suriname,SUR,84.5
Time required to start a business (days),IC.REG.DURS,Sweden,SWE,7
Time required to start a business (days),IC.REG.DURS,Switzerland,CHE,10
Time required to start a business (days),IC.REG.DURS,Syrian Arab Republic,SYR,15.5
Time required to start a business (days),IC.REG.DURS,Tajikistan,TJK,22
Time required to start a business (days),IC.REG.DURS,Tanzania,TZA,28
Time required to start a business (days),IC.REG.DURS,Thailand,THA,27.5
Time required to start a business (days),IC.REG.DURS,Timor-Leste,TLS,9
Time required to start a business (days),IC.REG.DURS,Togo,TGO,6
Time required to start a business (days),IC.REG.DURS,Tonga,TON,16
Time required to start a business (days),IC.REG.DURS,Trinidad and Tobago,TTO,10.5
Time required to start a business (days),IC.REG.DURS,Tunisia,TUN,11
Time required to start a business (days),IC.REG.DURS,Turkey,TUR,6.5
Time required to start a business (days),IC.REG.DURS,Turkmenistan,TKM,..
Time required to start a business (days),IC.REG.DURS,Turks and Caicos Islands,TCA,..
Time required to start a business (days),IC.REG.DURS,Tuvalu,TUV,..
Time required to start a business (days),IC.REG.DURS,Uganda,UGA,26
Time required to start a business (days),IC.REG.DURS,Ukraine,UKR,6.5
Time required to start a business (days),IC.REG.DURS,United Arab Emirates,ARE,8.2
Time required to start a business (days),IC.REG.DURS,United Kingdom,GBR,4.5
Time required to start a business (days),IC.REG.DURS,United States,USA,5.6
Time required to start a business (days),IC.REG.DURS,Upper middle income,UMC,30.1745098039216
Time required to start a business (days),IC.REG.DURS,Uruguay,URY,6.5
Time required to start a business (days),IC.REG.DURS,Uzbekistan,UZB,5.5
Time required to start a business (days),IC.REG.DURS,Vanuatu,VUT,18
Time required to start a business (days),IC.REG.DURS,"Venezuela, RB",VEN,230
Time required to start a business (days),IC.REG.DURS,Vietnam,VNM,24
Time required to start a business (days),IC.REG.DURS,Virgin Islands (U.S.),VIR,..
Time required to start a business (days),IC.REG.DURS,West Bank and Gaza,PSE,43.5
Time required to start a business (days),IC.REG.DURS,World,WLD,21.3142105263158
Time required to start a business (days),IC.REG.DURS,"Yemen, Rep.",YEM,40.5
Time required to start a business (days),IC.REG.DURS,Zambia,ZMB,8.5
Time required to start a business (days),IC.REG.DURS,Zimbabwe,ZWE,91
